,c<,c>,o<,o>,r<,r>,r<,r>,e<,e>,c<,c>,t<,t>,h<,h>,o<,o>,r<,r>,s<,s>,e<,e>
0,1.415466070175171,0.10524749755859375,0.05609250068664551,0.05807852745056152,0.09442472457885742,0.07479500770568848,0.0702977180480957,0.07586979866027832,0.06279754638671875,0.0712883472442627,0.10735511779785156,0.07627272605895996,0.1719527244567871,0.07961726188659668,0.783700704574585,0.07003450393676758,0.11713981628417969,0.0,0.06256413459777832,0.08128118515014648,0.2197580337524414,0.05895876884460449,0.07760047912597656,0.08803772926330566
1,5.290245532989502,0.07876014709472656,0.0010066032409667969,0.0625600814819336,0.07910490036010742,0.0867776870727539,0.06329226493835449,0.10165548324584961,0.08407402038574219,0.08942914009094238,0.28110647201538086,0.08741927146911621,0.12697720527648926,0.06637263298034668,0.1860799789428711,0.06854653358459473,0.027407169342041016,0.06784558296203613,0.05524039268493652,0.06940007209777832,0.11463594436645508,0.047486305236816406,0.0649421215057373,0.08085131645202637
2,0.46743154525756836,0.057015419006347656,0.011465311050415039,0.05638456344604492,0.06121063232421875,0.05301785469055176,0.05715370178222656,0.07512831687927246,0.06847667694091797,0.06184864044189453,0.10484027862548828,0.059082984924316406,0.19105267524719238,0.08611774444580078,0.2623872756958008,0.06690549850463867,0.0693206787109375,0.07364916801452637,0.10972380638122559,0.07031011581420898,0.13656234741210938,0.05233168601989746,0.06737184524536133,0.0858149528503418
3,1.2643523216247559,0.0758359432220459,0.008558511734008789,0.06103324890136719,0.07002425193786621,0.06703639030456543,0.07596015930175781,0.07672286033630371,0.08796405792236328,0.08143496513366699,0.37264513969421387,0.07046318054199219,0.13170862197875977,0.06662607192993164,0.11989998817443848,0.05644798278808594,0.0339818000793457,0.06089448928833008,0.06844663619995117,0.06441259384155273,0.1583549976348877,0.06946897506713867,0.1094362735748291,0.08146905899047852
4,2.02229642868042,0.08356857299804688,0.044883012771606445,0.060253143310546875,0.06215357780456543,0.07263946533203125,0.055695533752441406,0.08819127082824707,0.05916118621826172,0.0798654556274414,0.10502195358276367,0.07073426246643066,0.1309506893157959,0.06525540351867676,0.14577841758728027,0.07438445091247559,0.11981725692749023,0.06882977485656738,0.0020036697387695312,0.0680849552154541,0.10581064224243164,0.06519961357116699,0.0702061653137207,0.0
5,0.499514102935791,0.08523988723754883,0.07050609588623047,0.057295799255371094,0.04781079292297363,0.0673062801361084,0.04842185974121094,0.08783555030822754,0.04991722106933594,0.07460284233093262,0.10793781280517578,0.07782554626464844,0.13834047317504883,0.08224606513977051,0.7462961673736572,0.07064151763916016,0.031041622161865234,0.06679916381835938,0.04192018508911133,0.06993746757507324,0.11332011222839355,0.059298038482666016,0.0725400447845459,0.09869241714477539
6,0.4916725158691406,0.06542682647705078,0.021134614944458008,0.046860694885253906,0.06296014785766602,0.050147056579589844,0.056581735610961914,0.08730578422546387,0.07044219970703125,0.0554661750793457,0.1053457260131836,0.07070779800415039,0.11449670791625977,0.05361008644104004,0.08224821090698242,0.05576181411743164,0.11001205444335938,0.05655312538146973,0.005919456481933594,0.06179308891296387,0.09660816192626953,0.051152944564819336,0.07077836990356445,0.07529592514038086
7,0.5474464893341064,0.06436538696289062,0.015228033065795898,0.056850433349609375,0.7726895809173584,0.058095455169677734,0.060491323471069336,0.06448101997375488,0.06729888916015625,0.07016134262084961,0.09316253662109375,0.06817889213562012,0.11319613456726074,0.06586861610412598,0.05936002731323242,0.06712698936462402,0.10835456848144531,0.0,0.05462980270385742,0.056035518646240234,0.0832817554473877,0.061867713928222656,0.06184267997741699,0.0
8,0.7881772518157959,0.06403374671936035,0.02749323844909668,0.05019807815551758,0.0631246566772461,0.05019211769104004,0.05409812927246094,0.07596945762634277,0.0688016414642334,0.052828073501586914,0.09871172904968262,0.06988883018493652,0.10755014419555664,0.0,0.05421900749206543,0.053159475326538086,0.09952783584594727,0.0,0.06255674362182617,0.05447673797607422,0.09242773056030273,0.05846548080444336,0.06443262100219727,0.0810401439666748
9,0.38436198234558105,0.06786227226257324,0.01962757110595703,0.05152297019958496,0.5975098609924316,0.05457353591918945,0.07018375396728516,0.061944007873535156,0.07919430732727051,0.06076836585998535,0.12368345260620117,0.0731039047241211,0.11852264404296875,0.06998467445373535,0.10302996635437012,0.05845141410827637,0.10435605049133301,0.05451560020446777,0.014377593994140625,0.06616044044494629,0.08811450004577637,0.06689763069152832,0.06708955764770508,0.08788728713989258
